166.1.91.0/24 - UA, UA-30, Kyiv
166.1.32.0/24 - UA, UA-30, Kyiv
166.1.34.0/24 - UA, UA-30, Kyiv
166.1.37.0/24 - UA, UA-30, Kyiv
166.1.45.0/24 - UA, UA-30, Kyiv
166.1.47.0/24 - UA, UA-30, Kyiv
166.1.86.0/24 - UA, UA-30, Kyiv
166.1.88.0/24 - UA, UA-30, Kyiv
166.1.90.0/24 - UA, UA-30, Kyiv
166.1.85.0/24 - UA, UA-30, Kyiv
166.1.44.0/24 - FR, FR-IDF, Paris
166.1.87.0/24 - FR, FR-IDF, Paris
166.1.72.0/24 - HU, HU-BU, Budapest
166.1.89.0/24 - NL, NL-ZH, Amsterdam
166.1.75.0/24 - JP, JP-13, Tokyo
166.1.95.0/24 - IT, IT-62, Rome
166.1.76.0/24 - CA, CA-ON, Ontario
166.1.16.0/24 - CL, CL-LL, Los Lagos
166.1.77.0/24 - IN, IN-DL, Delhi
166.1.17.0/24 - DE, DE-BE, Berlin
166.1.78.0/24 - DE, DE-BE, Berlin
166.1.20.0/24 - DE, DE-BE, Berlin
166.1.79.0/24 - ES, ES-MD, Madrid
166.1.80.0/24 - ES, ES-MD, Madrid
166.1.21.0/24 - PL, PL-28, Warsaw
166.1.81.0/24 - PL, PL-28, Warsaw
166.1.33.0/24 - LT, LT-AL, Vilnius
166.1.83.0/24 - RO, RO-B, Bucharest
166.1.38.0/24 - BE, BE-BRU, Brussel
